"pVDZ"   2.0715   -516.81044   -506.30335
"pVTZ"   2.0658   -520.04478   -512.23601
"pVQZ"   2.0551   -525.39512   -514.69588
"pV5Z"   2.0402   -532.78832   -516.18853 
