"pVDZ"   2.0599   -519.94047   -505.15755 
"pVTZ"   2.0786   -505.94920   -494.93235 
"pVQZ"   2.0851   -501.30933   -491.64679 
"pV5Z"   2.0877   -500.97550   -491.26398 

