"pVDZ"   2.2958   -396.35664   -388.76668 
"pVTZ"   2.2867   -398.51879   -394.17115 
"pVQZ"   2.2802   -401.72554   -396.57012 
"pV5Z"   2.2745   -405.37835   -397.97437 

