
"La" -21.9429 -13.1888 -35.1317 -21.7184 -13.1832 -34.901
"Gd" -24.1857 -14.9439 -39.1296 -23.9702 -14.9451 -38.9153
"Lu" -28.1676 -14.0602 -40.0903 -25.8279 -14.0559 -39.8839

#La8   -21.6685 -12.7750 -34.4435 -20.2041 -12.7743 -32.9784
#Gd8   -24.0620 -13.0611 -37.1231 -23.8456 -13.0586 -36.9042
#Lu8   -25.9887 -13.3977 -39.3864 -25.7827 -13.3945 -39.1772
#Lu7   -25.7488 -12.7746 -38.5492 -25.5513 -12.8005 -38.3318
